city,country,year_and_week,year,avg_uv_weekly,avg_temp_weekly,avg_daylight_time_weekly,alpha-3,region
Izmir,Turkey,45.0,2023.0,5.285714285714286,18.971428571428568,2024-04-18 10:18:00.000000,TUR,Asia
Berlin,Germany,45.0,2023.0,2.7142857142857144,8.828571428571427,2024-04-18 09:06:00.000000,DEU,Europe
Berlin,Germany,46.0,2023.0,2.428571428571429,6.885714285714285,2024-04-18 08:42:34.285714,DEU,Europe
Izmir,Turkey,46.0,2023.0,4.285714285714286,14.328571428571427,2024-04-18 10:04:25.714286,TUR,Asia
Lisbon,Portugal,46.0,2023.0,5.857142857142857,18.157142857142855,2024-04-18 10:03:08.571429,PRT,Europe
Berlin,Germany,47.0,2023.0,2.142857142857143,4.0,2024-04-18 08:21:42.857143,DEU,Europe
Lisbon,Portugal,47.0,2023.0,5.0,13.757142857142856,2024-04-18 09:51:34.285714,PRT,Europe
Izmir,Turkey,47.0,2023.0,4.285714285714286,14.257142857142856,2024-04-18 09:53:17.142857,TUR,Asia
Lisbon,Portugal,48.0,2023.0,3.8571428571428568,14.8,2024-04-18 09:41:00.000000,PRT,Europe
Berlin,Germany,48.0,2023.0,1.0,-2.3142857142857145,2024-04-18 08:04:34.285714,DEU,Europe
Izmir,Turkey,48.0,2023.0,3.7142857142857135,13.942857142857141,2024-04-18 09:43:34.285714,TUR,Asia
Lisbon,Portugal,49.0,2023.0,3.8571428571428568,14.428571428571429,2024-04-18 09:34:00.000000,PRT,Europe
Berlin,Germany,49.0,2023.0,1.1428571428571428,0.5142857142857142,2024-04-18 07:51:25.714286,DEU,Europe
Izmir,Turkey,49.0,2023.0,3.428571428571429,11.928571428571429,2024-04-18 09:36:25.714286,TUR,Asia
Izmir,Turkey,50.0,2023.0,4.142857142857143,12.4,2024-04-18 09:31:25.714286,TUR,Asia
Lisbon,Portugal,50.0,2023.0,4.428571428571429,13.214285714285714,2024-04-18 09:29:17.142857,PRT,Europe
Berlin,Germany,50.0,2023.0,1.7142857142857144,5.342857142857143,2024-04-18 07:42:34.285714,DEU,Europe
Lisbon,Portugal,51.0,2023.0,4.428571428571429,11.457142857142856,2024-04-18 09:27:34.285714,PRT,Europe
Izmir,Turkey,51.0,2023.0,4.0,10.442857142857141,2024-04-18 09:29:51.428571,TUR,Asia
Berlin,Germany,51.0,2023.0,1.8571428571428568,5.6,2024-04-18 07:39:34.285714,DEU,Europe
Berlin,Germany,52.0,2023.0,2.2857142857142856,7.357142857142858,2024-04-18 07:41:42.857143,DEU,Europe
Lisbon,Portugal,52.0,2023.0,3.8571428571428568,12.314285714285713,2024-04-18 09:28:51.428571,PRT,Europe
Izmir,Turkey,52.0,2023.0,4.428571428571429,12.914285714285715,2024-04-18 09:30:51.428571,TUR,Asia
