date,city,region_x,country,avg_temp_c,avg_humidity,condition_text,condition_icon,uv,sunrise,sunset,day_of_month,month_of_year,year,day_of_week,year_and_week,sunrise_time,sunset_time,daylight_int,day_condition,daylight_time,weekly_avg_uv,alpha-3,region_y
2023-08-02,Lisbon,Lisboa,Portugal,22.7,77.0,Patchy rain possible,//cdn.weatherapi.com/weather/64x64/day/176.png,6.0,06:38 AM,08:47 PM,2.0,august   ,2023.0,wednesday,31.0,06:38:00,20:47:00,-14:09:00,0,2024-04-18 14:09:00,5.0,PRT,Europe
2023-08-01,Lisbon,Lisboa,Portugal,23.2,73.0,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,7.0,06:37 AM,08:48 PM,1.0,august   ,2023.0,tuesday  ,31.0,06:37:00,20:48:00,-14:11:00,1,2024-04-18 14:11:00,5.0,PRT,Europe
2023-08-23,Lisbon,Lisboa,Portugal,26.3,49.0,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,8.0,06:57 AM,08:20 PM,23.0,august   ,2023.0,wednesday,34.0,06:57:00,20:20:00,-13:23:00,1,2024-04-18 13:23:00,5.0,PRT,Europe
2023-08-24,Berlin,Berlin,Germany,22.7,50.0,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,7.0,06:03 AM,08:13 PM,24.0,august   ,2023.0,thursday ,34.0,06:03:00,20:13:00,-14:10:00,1,2024-04-18 14:10:00,5.0,DEU,Europe
2023-08-23,Berlin,Berlin,Germany,21.8,53.0,Partly cloudy,//cdn.weatherapi.com/weather/64x64/day/116.png,7.0,06:02 AM,08:15 PM,23.0,august   ,2023.0,wednesday,34.0,06:02:00,20:15:00,-14:13:00,2,2024-04-18 14:13:00,5.0,DEU,Europe
2023-08-26,Berlin,Berlin,Germany,22.8,60.0,Patchy rain possible,//cdn.weatherapi.com/weather/64x64/day/176.png,6.0,06:07 AM,08:09 PM,26.0,august   ,2023.0,saturday ,34.0,06:07:00,20:09:00,-14:02:00,0,2024-04-18 14:02:00,5.0,DEU,Europe
2023-08-19,Lisbon,Lisboa,Portugal,23.6,76.0,Partly cloudy,//cdn.weatherapi.com/weather/64x64/day/116.png,7.0,06:54 AM,08:26 PM,19.0,august   ,2023.0,saturday ,33.0,06:54:00,20:26:00,-13:32:00,2,2024-04-18 13:32:00,5.0,PRT,Europe
2023-08-18,Lisbon,Lisboa,Portugal,22.3,77.0,Partly cloudy,//cdn.weatherapi.com/weather/64x64/day/116.png,7.0,06:53 AM,08:27 PM,18.0,august   ,2023.0,friday   ,33.0,06:53:00,20:27:00,-13:34:00,2,2024-04-18 13:34:00,5.0,PRT,Europe
2023-08-17,Lisbon,Lisboa,Portugal,21.4,72.0,Partly cloudy,//cdn.weatherapi.com/weather/64x64/day/116.png,7.0,06:52 AM,08:29 PM,17.0,august   ,2023.0,thursday ,33.0,06:52:00,20:29:00,-13:37:00,2,2024-04-18 13:37:00,5.0,PRT,Europe
2023-08-16,Lisbon,Lisboa,Portugal,21.1,69.0,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,7.0,06:51 AM,08:30 PM,16.0,august   ,2023.0,wednesday,33.0,06:51:00,20:30:00,-13:39:00,1,2024-04-18 13:39:00,5.0,PRT,Europe
2023-08-15,Lisbon,Lisboa,Portugal,21.5,73.0,Overcast,//cdn.weatherapi.com/weather/64x64/day/122.png,6.0,06:50 AM,08:31 PM,15.0,august   ,2023.0,tuesday  ,33.0,06:50:00,20:31:00,-13:41:00,2,2024-04-18 13:41:00,5.0,PRT,Europe
2023-08-14,Lisbon,Lisboa,Portugal,20.9,68.0,Partly cloudy,//cdn.weatherapi.com/weather/64x64/day/116.png,7.0,06:49 AM,08:32 PM,14.0,august   ,2023.0,monday   ,33.0,06:49:00,20:32:00,-13:43:00,2,2024-04-18 13:43:00,5.0,PRT,Europe
2023-08-25,Berlin,Berlin,Germany,25.0,59.0,Patchy light rain with thunder,//cdn.weatherapi.com/weather/64x64/day/386.png,7.0,06:05 AM,08:11 PM,25.0,august   ,2023.0,friday   ,34.0,06:05:00,20:11:00,-14:06:00,0,2024-04-18 14:06:00,5.0,DEU,Europe
2023-08-11,Lisbon,Lisboa,Portugal,23.9,65.0,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,8.0,06:46 AM,08:36 PM,11.0,august   ,2023.0,friday   ,32.0,06:46:00,20:36:00,-13:50:00,1,2024-04-18 13:50:00,5.0,PRT,Europe
2023-08-20,Lisbon,Lisboa,Portugal,24.5,62.0,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,8.0,06:55 AM,08:25 PM,20.0,august   ,2023.0,sunday   ,33.0,06:55:00,20:25:00,-13:30:00,1,2024-04-18 13:30:00,5.0,PRT,Europe
2023-08-09,Lisbon,Lisboa,Portugal,22.5,70.0,Partly cloudy,//cdn.weatherapi.com/weather/64x64/day/116.png,7.0,06:45 AM,08:39 PM,9.0,august   ,2023.0,wednesday,32.0,06:45:00,20:39:00,-13:54:00,2,2024-04-18 13:54:00,5.0,PRT,Europe
2023-08-10,Lisbon,Lisboa,Portugal,22.8,63.0,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,7.0,06:45 AM,08:37 PM,10.0,august   ,2023.0,thursday ,32.0,06:45:00,20:37:00,-13:52:00,1,2024-04-18 13:52:00,5.0,PRT,Europe
2023-08-07,Lisbon,Lisboa,Portugal,27.2,39.0,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,8.0,06:43 AM,08:41 PM,7.0,august   ,2023.0,monday   ,32.0,06:43:00,20:41:00,-13:58:00,1,2024-04-18 13:58:00,5.0,PRT,Europe
2023-08-06,Lisbon,Lisboa,Portugal,26.3,49.0,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,8.0,06:42 AM,08:42 PM,6.0,august   ,2023.0,sunday   ,31.0,06:42:00,20:42:00,-14:00:00,1,2024-04-18 14:00:00,5.0,PRT,Europe
2023-08-05,Lisbon,Lisboa,Portugal,25.0,43.0,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,8.0,06:41 AM,08:43 PM,5.0,august   ,2023.0,saturday ,31.0,06:41:00,20:43:00,-14:02:00,1,2024-04-18 14:02:00,5.0,PRT,Europe
2023-08-04,Lisbon,Lisboa,Portugal,22.1,52.0,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,7.0,06:40 AM,08:44 PM,4.0,august   ,2023.0,friday   ,31.0,06:40:00,20:44:00,-14:04:00,1,2024-04-18 14:04:00,5.0,PRT,Europe
2023-08-31,Berlin,Berlin,Germany,16.3,64.0,Patchy light rain with thunder,//cdn.weatherapi.com/weather/64x64/day/386.png,4.0,06:15 AM,07:58 PM,31.0,august   ,2023.0,thursday ,35.0,06:15:00,19:58:00,-13:43:00,0,2024-04-18 13:43:00,5.0,DEU,Europe
2023-08-30,Berlin,Berlin,Germany,16.0,75.0,Light rain,//cdn.weatherapi.com/weather/64x64/day/296.png,5.0,06:13 AM,08:00 PM,30.0,august   ,2023.0,wednesday,35.0,06:13:00,20:00:00,-13:47:00,0,2024-04-18 13:47:00,5.0,DEU,Europe
2023-08-29,Berlin,Berlin,Germany,14.4,88.0,Light rain,//cdn.weatherapi.com/weather/64x64/day/296.png,4.0,06:11 AM,08:02 PM,29.0,august   ,2023.0,tuesday  ,35.0,06:11:00,20:02:00,-13:51:00,0,2024-04-18 13:51:00,5.0,DEU,Europe
2023-08-28,Berlin,Berlin,Germany,17.8,61.0,Overcast,//cdn.weatherapi.com/weather/64x64/day/122.png,5.0,06:10 AM,08:04 PM,28.0,august   ,2023.0,monday   ,35.0,06:10:00,20:04:00,-13:54:00,2,2024-04-18 13:54:00,5.0,DEU,Europe
2023-08-27,Berlin,Berlin,Germany,20.1,56.0,Light rain shower,//cdn.weatherapi.com/weather/64x64/day/353.png,5.0,06:08 AM,08:07 PM,27.0,august   ,2023.0,sunday   ,34.0,06:08:00,20:07:00,-13:59:00,0,2024-04-18 13:59:00,5.0,DEU,Europe
